feature,coef_down,coef_same,coef_up,max_abs_coef,sector_slug,feature_type,all_zero,n_nonzero_classes,var
ticker__ticker_IPG,0.1422191070341029,-0.0171195899130387,-0.0459413868288854,0.1422191070341029,communication_services,ticker_fe,False,3,ticker__ticker_IPG
ticker__ticker_TTWO,-0.1393663343722294,0.0307824075630832,0.0675307593798483,0.1393663343722294,communication_services,ticker_fe,False,3,ticker__ticker_TTWO
num__revenue_growth,0.1331866173562013,-0.0018536467242045,-0.0534337139756651,0.1331866173562013,communication_services,numeric,False,3,revenue_growth
ticker__ticker_PSKY,0.0199713203804892,-0.1322139526146785,0.0324853029323545,0.1322139526146785,communication_services,ticker_fe,False,3,ticker__ticker_PSKY
num__VIX_Lag10,-0.0919263001835049,0.0,0.1147040237721766,0.1147040237721766,communication_services,numeric,False,2,VIX_Lag10
num__VIX_Lag5,-0.0137361609620716,0.1038401011293531,-0.0105407875518568,0.1038401011293531,communication_services,numeric,False,3,VIX_Lag5
num__roa,0.084831080521432,-0.0973219037385843,0.0,0.0973219037385843,communication_services,numeric,False,2,roa
num__IPI_IPI_SA,-0.0272792417240592,0.0966346233467598,0.0,0.0966346233467598,communication_services,numeric,False,2,IPI_IPI_SA
ticker__ticker_GOOG,0.033095295542605,-0.0938243736184767,7.307645255772243e-06,0.0938243736184767,communication_services,ticker_fe,False,3,ticker__ticker_GOOG
num__free_cf_margin,-0.0891991012691433,0.0163436932014077,0.0,0.0891991012691433,communication_services,numeric,False,2,free_cf_margin
num__IPI_IPI_QOQ,0.077402109518352,-0.0820452935145524,0.0,0.0820452935145524,communication_services,numeric,False,2,IPI_IPI_QOQ
num__Return_Lag5,0.0718504593922372,0.0,-0.0162622132257644,0.0718504593922372,communication_services,numeric,False,2,Return_Lag5
num__Sentiment_Lag10,0.0,0.0133604155780995,-0.0686364889370397,0.0686364889370397,communication_services,numeric,False,2,Sentiment_Lag10
num__op_margin,0.0,0.0578411665387358,-0.0235651808474143,0.0578411665387358,communication_services,numeric,False,2,op_margin
num__Sentiment_Lag1,0.0,-0.0532641304683283,0.0069851665364624,0.0532641304683283,communication_services,numeric,False,2,Sentiment_Lag1
ticker__ticker_CMCSA,0.0291868210966335,0.0,-0.0502925153387007,0.0502925153387007,communication_services,ticker_fe,False,2,ticker__ticker_CMCSA
num__Return_Lag2,0.0481626578100871,-0.0043773852631777,0.0,0.0481626578100871,communication_services,numeric,False,2,Return_Lag2
num__Return_Lag10,0.0,-0.005577268949558,0.0454963312349225,0.0454963312349225,communication_services,numeric,False,2,Return_Lag10
num__Sentiment_Lag2,0.0,0.0179927417491409,-0.0431657710992481,0.0431657710992481,communication_services,numeric,False,2,Sentiment_Lag2
num__liquidity_ratio,0.0256281123031881,-0.0422443640365992,0.0,0.0422443640365992,communication_services,numeric,False,2,liquidity_ratio
num__Return_Lag1,0.0382092821370607,-0.0315585520624095,0.0,0.0382092821370607,communication_services,numeric,False,2,Return_Lag1
num__current_ratio,0.0,-0.0379214871850951,0.0330904584157345,0.0379214871850951,communication_services,numeric,False,2,current_ratio
num__Sentiment_Lag5,-0.0168033615017224,0.0,0.0368118014537958,0.0368118014537958,communication_services,numeric,False,2,Sentiment_Lag5
num__Return_Lag3,0.021712081742519,0.0,-0.0357148934120897,0.0357148934120897,communication_services,numeric,False,2,Return_Lag3
num__ocf_to_assets,0.0,-0.0354684960114948,0.0233436384663536,0.0354684960114948,communication_services,numeric,False,2,ocf_to_assets
num__IPI_IPI_SA_QOQ,0.0352666833401848,-0.0249542940704617,0.0,0.0352666833401848,communication_services,numeric,False,2,IPI_IPI_SA_QOQ
num__Sentiment_Lag1_squared,0.0,-0.0056966608442532,0.0338217678761922,0.0338217678761922,communication_services,numeric,False,2,Sentiment_Lag1_squared
num__Sentiment_Lag20,0.0135112571476677,-0.0334923218517646,0.0,0.0334923218517646,communication_services,numeric,False,2,Sentiment_Lag20
num__Sentiment_Lag1_cubic,-0.0324229810816076,0.0227239923202429,0.0,0.0324229810816076,communication_services,numeric,False,2,Sentiment_Lag1_cubic
num__Return_Lag20,0.0317585155457569,-0.0149137172512835,0.0,0.0317585155457569,communication_services,numeric,False,2,Return_Lag20
num__VIX_Lag20,-0.006282624310305,0.0228762176987547,0.0,0.0228762176987547,communication_services,numeric,False,2,VIX_Lag20
num__Sentiment_Lag3,0.0014182995816566,0.0,-0.0210213672455453,0.0210213672455453,communication_services,numeric,False,2,Sentiment_Lag3
num__GDP_GDP_SA_PC_YOY,0.0,0.0038427946787914,0.0,0.0038427946787914,communication_services,numeric,False,1,GDP_GDP_SA_PC_YOY
num__GDP_GDP_NSA_PC_QOQ,0.0,-0.0038427946787617,0.0,0.0038427946787617,communication_services,numeric,False,1,GDP_GDP_NSA_PC_QOQ
num__GDP_GDP_NSA_PC_YOY,0.0,-0.0038427946787487,0.0,0.0038427946787487,communication_services,numeric,False,1,GDP_GDP_NSA_PC_YOY
num__GDP_GDP_SA_PC_QOQ,0.0,-0.0038427946787482,0.0,0.0038427946787482,communication_services,numeric,False,1,GDP_GDP_SA_PC_QOQ
num__IPI_IPI,0.0,0.0,0.0,0.0,communication_services,numeric,True,0,IPI_IPI
num__IPI_IPI_SA_YOY,0.0,0.0,0.0,0.0,communication_services,numeric,True,0,IPI_IPI_SA_YOY
num__IPI_IPI_YOY,0.0,0.0,0.0,0.0,communication_services,numeric,True,0,IPI_IPI_YOY
num__UNEMP_UNRATE_PCH,0.0,0.0,0.0,0.0,communication_services,numeric,True,0,UNEMP_UNRATE_PCH
num__UNEMP_UNRATENSA,0.0,0.0,0.0,0.0,communication_services,numeric,True,0,UNEMP_UNRATENSA
num__UNEMP_UNRATENSA_PC1,0.0,0.0,0.0,0.0,communication_services,numeric,True,0,UNEMP_UNRATENSA_PC1
num__UNEMP_UNRATENSA_PCH,0.0,0.0,0.0,0.0,communication_services,numeric,True,0,UNEMP_UNRATENSA_PCH
num__UNEMP_UNRATE_PC1,0.0,0.0,0.0,0.0,communication_services,numeric,True,0,UNEMP_UNRATE_PC1
num__UNEMP_UNRATE,0.0,0.0,0.0,0.0,communication_services,numeric,True,0,UNEMP_UNRATE
ticker__ticker_WYNN,-0.7251385735572404,0.0,0.246307816663496,0.7251385735572404,consumer_cyclical,ticker_fe,False,2,ticker__ticker_WYNN
ticker__ticker_TSLA,0.0,-0.6809985580890424,0.0,0.6809985580890424,consumer_cyclical,ticker_fe,False,1,ticker__ticker_TSLA
ticker__ticker_TJX,-0.2304969087089575,0.6635228823515193,0.0,0.6635228823515193,consumer_cyclical,ticker_fe,False,2,ticker__ticker_TJX
ticker__ticker_CCL,0.0,-0.6301876327407856,0.0857950965786026,0.6301876327407856,consumer_cyclical,ticker_fe,False,2,ticker__ticker_CCL
ticker__ticker_NCLH,0.2091936102416873,-0.5593413087445852,0.0,0.5593413087445852,consumer_cyclical,ticker_fe,False,2,ticker__ticker_NCLH
ticker__ticker_DECK,0.0784109014955238,-0.5443726136393336,0.0,0.5443726136393336,consumer_cyclical,ticker_fe,False,2,ticker__ticker_DECK
ticker__ticker_ROL,-0.0974350831424076,0.5057017423409159,0.0,0.5057017423409159,consumer_cyclical,ticker_fe,False,2,ticker__ticker_ROL
ticker__ticker_WSM,0.102858489538778,-0.4452912849120552,0.0,0.4452912849120552,consumer_cyclical,ticker_fe,False,2,ticker__ticker_WSM
ticker__ticker_PHM,0.231250813855229,-0.3778091639536483,0.0,0.3778091639536483,consumer_cyclical,ticker_fe,False,2,ticker__ticker_PHM
ticker__ticker_TPR,0.0,-0.0872154250138698,0.3705220390875298,0.3705220390875298,consumer_cyclical,ticker_fe,False,2,ticker__ticker_TPR
ticker__ticker_RCL,0.0,-0.3660871169209203,0.2351012444538908,0.3660871169209203,consumer_cyclical,ticker_fe,False,2,ticker__ticker_RCL
ticker__ticker_PKG,0.0,0.3635985467994104,-0.0812334929715604,0.3635985467994104,consumer_cyclical,ticker_fe,False,2,ticker__ticker_PKG
ticker__ticker_DASH,-0.1152555380430234,0.0,0.3452769737054089,0.3452769737054089,consumer_cyclical,ticker_fe,False,2,ticker__ticker_DASH
ticker__ticker_LULU,0.2544723849109249,-0.3300526123441749,0.0,0.3300526123441749,consumer_cyclical,ticker_fe,False,2,ticker__ticker_LULU
ticker__ticker_NVR,0.0,0.0481885079473495,-0.3118483589342755,0.3118483589342755,consumer_cyclical,ticker_fe,False,2,ticker__ticker_NVR
ticker__ticker_CMG,0.3078238965481392,-0.2615918317256898,0.0,0.3078238965481392,consumer_cyclical,ticker_fe,False,2,ticker__ticker_CMG
num__VIX_Lag3,-0.3051571864900878,0.0,0.2294286935103147,0.3051571864900878,consumer_cyclical,numeric,False,2,VIX_Lag3
ticker__ticker_DPZ,0.2850176827221142,0.0,-0.0146603549286784,0.2850176827221142,consumer_cyclical,ticker_fe,False,2,ticker__ticker_DPZ
num__VIX_Lag2,0.2838031858762452,0.0,-0.0901821844616089,0.2838031858762452,consumer_cyclical,numeric,False,2,VIX_Lag2
ticker__ticker_HD,0.0,0.1457584148763111,-0.266666606202322,0.266666606202322,consumer_cyclical,ticker_fe,False,2,ticker__ticker_HD
ticker__ticker_GPC,-0.1180920338826275,0.2648946312083801,0.0,0.2648946312083801,consumer_cyclical,ticker_fe,False,2,ticker__ticker_GPC
ticker__ticker_MGM,0.2586003110798155,0.0,-0.0075563149888753,0.2586003110798155,consumer_cyclical,ticker_fe,False,2,ticker__ticker_MGM
ticker__ticker_LVS,0.0774937590016367,-0.2454290672465276,0.0,0.2454290672465276,consumer_cyclical,ticker_fe,False,2,ticker__ticker_LVS
num__VIX_Lag1,0.0,-0.2402109082561604,0.1228008544004205,0.2402109082561604,consumer_cyclical,numeric,False,2,VIX_Lag1
ticker__ticker_AVY,0.0755100023444834,0.0,-0.2156769583724558,0.2156769583724558,consumer_cyclical,ticker_fe,False,2,ticker__ticker_AVY
ticker__ticker_ROST,0.0,0.2111727213559189,-0.0083858874057416,0.2111727213559189,consumer_cyclical,ticker_fe,False,2,ticker__ticker_ROST
ticker__ticker_AMCR,0.0,0.1785166557648466,-0.2030108887791311,0.2030108887791311,consumer_cyclical,ticker_fe,False,2,ticker__ticker_AMCR
num__IPI_IPI_QOQ,0.1992215687345803,0.0,-0.0080142731913108,0.1992215687345803,consumer_cyclical,numeric,False,2,IPI_IPI_QOQ
ticker__ticker_DRI,0.0,0.1967716257209119,-0.0903321855283356,0.1967716257209119,consumer_cyclical,ticker_fe,False,2,ticker__ticker_DRI
ticker__ticker_RL,-0.1963801622634928,0.0,0.0549875505747427,0.1963801622634928,consumer_cyclical,ticker_fe,False,2,ticker__ticker_RL
ticker__ticker_AZO,-0.1888594119650683,0.1533047836831743,0.0,0.1888594119650683,consumer_cyclical,ticker_fe,False,2,ticker__ticker_AZO
ticker__ticker_BALL,0.0,0.1799872541912039,-0.0845156665068301,0.1799872541912039,consumer_cyclical,ticker_fe,False,2,ticker__ticker_BALL
ticker__ticker_LKQ,-0.015825272574465,0.1787458817547639,0.0,0.1787458817547639,consumer_cyclical,ticker_fe,False,2,ticker__ticker_LKQ
num__VIX_Lag5,0.0162313600853773,0.0,-0.1774020285877667,0.1774020285877667,consumer_cyclical,numeric,False,2,VIX_Lag5
